Sprint Name,Start Date,End Date
PACAF Sprint 1,2/4/2016 16:51,2/19/2016 10:10
PACAF Sprint 2,2/23/2016 11:11,3/10/2016 16:33
PACAF Sprint 3,3/11/2016 5:00,3/29/2016 16:32
PACAF Sprint 4,3/30/2016 7:11,4/15/2016 14:16
PACAF Sprint 5,4/15/2016 5:00,4/15/2016 5:00
PACAF Sprint 6,4/29/2016 5:30,5/18/2016 10:43
PACAF Sprint 7,5/17/2016 5:30,6/3/2016 8:32
PACAF Sprint 8,6/3/2016 6:00,6/22/2016 7:18
PACAF Sprint 9,6/21/2016 7:22,7/8/2016 9:38
PACAF Sprint 10,7/8/2016 5:30,7/26/2016 15:23
PACAF Sprint 11,7/26/2016 5:30,8/11/2016 10:44
PACAF Sprint 12,8/11/2016 5:30,8/29/2016 12:59
PACAF Sprint 13,8/29/2016 5:00,9/16/2016 5:48
PACAF Sprint 14,9/15/2016 5:30,10/3/2016 6:27
PACAF Sprint 15,10/3/2016 5:30,10/20/2016 5:30
PACAF Sprint 16,10/20/2016 5:30,11/7/2016 7:53
PACAF Sprint 17,11/7/2016 5:30,11/29/2016 9:49
PACAF Sprint 18,11/24/2016 5:30,12/12/2016 9:14
PACAF Sprint 19,12/12/2016 5:30,12/29/2016 5:30
PACOM Sprint 1,2/4/2016 16:56,2/19/2016 10:08
PACOM Sprint 2,2/23/2016 11:12,3/10/2016 16:33
PACOM Sprint 3,3/11/2016 5:00,3/29/2016 14:43
PACOM Sprint 4,3/30/2016 5:30,4/15/2016 14:10
PACOM Sprint 5,4/15/2016 5:00,5/4/2016 8:07
PACOM Sprint 6,5/4/2016 9:00,5/18/2016 12:01
PACOM Sprint 7,5/18/2016 12:01,6/3/2016 12:29
PACOM Sprint 8,6/3/2016 12:34,6/22/2016 8:39
PACOM Sprint 9,6/21/2016 8:42,7/8/2016 12:14
PACOM Sprint 10,7/8/2016 0:00,7/27/2016 6:03
PACOM Sprint 11,7/26/2016 5:30,8/11/2016 7:39
PACOM Sprint 12,8/11/2016 5:30,8/29/2016 11:16
PACOM Sprint 13,8/29/2016 11:17,9/16/2016 6:25
PACOM Sprint 14,9/15/2016 5:30,10/3/2016 5:30
PACOM Sprint 15,10/3/2016 8:56,10/21/2016 8:56
PACOM Sprint 16,10/24/2016 7:06,11/7/2016 7:25
PACOM Sprint 17,11/7/2016 7:25,11/28/2016 11:15
PACOM Sprint 18,11/25/2016 5:30,12/12/2016 8:41
PACOM Sprint 19,12/12/2016 5:30,12/29/2016 5:30
PACFLT Sprint 1,2/4/2016 16:37,2/19/2016 10:09
PACFLT Sprint 2,2/23/2016 11:09,3/10/2016 16:31
PACFLT Sprint 3,3/11/2016 5:00,3/29/2016 16:33
PACFLT Sprint 4,3/30/2016 8:11,4/15/2016 14:16
PACFLT Sprint 5,4/15/2016 5:00,4/29/2016 10:06
PACFLT Sprint 6,4/29/2016 0:00,5/18/2016 10:39
PACFLT Sprint 7,5/17/2016 0:00,6/3/2016 11:10
PACFLT Sprint 8,6/3/2016 0:00,6/21/2016 13:17
PACFLT Sprint 9,6/21/2016 0:00,7/8/2016 9:41
PACFLT Sprint 10,7/8/2016 0:00,7/28/2016 10:02
PACFLT Sprint 11,7/26/2016 5:30,8/11/2016 10:11
PACFLT Sprint 12,8/11/2016 0:00,8/29/2016 12:46
PACFLT Sprint 13,8/29/2016 0:00,9/16/2016 6:26
PACFLT Sprint 14,9/15/2016 0:00,10/3/2016 0:00
PACFLT Sprint 15,10/3/2016 5:30,10/20/2016 5:30
PACFLT Sprint 16,10/20/2016 5:00,11/7/2016 14:21
PACFLT Sprint 17,11/7/2016 0:01,11/28/2016 9:39
PACFLT Sprint 18,11/24/2016 5:30,12/12/2016 8:39
PACFLT Sprint 19,12/12/2016 5:30,12/29/2016 5:30
LET Sprint 1,2/4/2016 16:57,2/19/2016 10:09
LET Sprint 2,2/23/2016 11:11,3/10/2016 16:32
LET Sprint 3,3/11/2016 5:01,3/30/2016 8:17
LET Sprint 4,3/30/2016 8:25,4/15/2016 14:16
LET Sprint 5,4/15/2016 5:00,5/4/2016 13:42
LET Sprint 6,5/5/2016 12:33,5/18/2016 10:44
LET Sprint 7,5/18/2016 13:18,6/6/2016 15:30
LET Sprint 8,6/6/2016 15:40,6/22/2016 8:44
LET Sprint 9,6/21/2016 8:44,7/8/2016 10:56
LET Sprint 10,7/8/2016 6:00,7/27/2016 12:52
LET Sprint 11,7/26/2016 13:00,8/11/2016 7:42
LET Sprint 12,8/11/2016 5:30,8/29/2016 16:21
LET Sprint 13,8/29/2016 5:00,9/16/2016 6:26
LET Sprint 16,10/20/2016 5:30,11/9/2016 8:38
MISC Sprint 3,3/11/2016 5:00,4/15/2016 14:16
MISC Sprint 5,4/15/2016 5:00,5/4/2016 13:42
Misc Sprint 13,8/29/2016 17:30,9/16/2016 12:16
Misc Sprint 14,9/15/2016 5:30,10/3/2016 5:30
